xi,H,eta,rho
0.0989267,0.427445,3.37706,-0.829254
0.103535,0.0519387,1.53753,-0.352904
0.0508984,0.252989,1.91066,-0.790343
0.0689177,0.332882,3.34432,-0.386787
0.0652362,0.438291,3.82862,-0.219298
0.0810412,0.347468,3.20364,-0.542406
0.118095,0.385342,2.32808,-0.556767
0.0258861,0.375036,1.8944,-0.258382
0.0424826,0.0960956,0.540873,-0.37552
0.0433482,0.238726,1.54596,-0.867209
0.10196,0.485659,3.60939,-0.184388
0.107971,0.381576,0.683638,-0.404429
0.101175,0.32628,1.30019,-0.132662
0.153842,0.497767,2.61116,-0.6398
0.0972775,0.321167,1.65747,-0.503493
0.0607011,0.394714,2.69901,-0.369621
0.152436,0.320852,2.65011,-0.111536
0.111049,0.267072,3.88778,-0.846464
0.0183572,0.234813,1.80464,-0.11699
0.156938,0.352114,1.43778,-0.50876
0.142071,0.293465,3.67294,-0.284299
0.139765,0.46255,2.03588,-0.879215
0.0224669,0.425112,1.11087,-0.107953
0.107076,0.213965,3.36554,-0.325021
0.0929232,0.0945598,0.659762,-0.414337
0.0954428,0.230812,2.81495,-0.345205
0.123416,0.328488,1.58439,-0.861633
0.143733,0.489821,2.72022,-0.481818
0.0274303,0.345834,3.06809,-0.450047
0.10895,0.212563,2.13283,-0.295953
0.102821,0.365135,1.89947,-0.499612
0.0531987,0.442265,1.53385,-0.736794
0.0150438,0.1301,3.87585,-0.372848
0.0905534,0.192348,1.7917,-0.184634
0.0803874,0.0428407,3.36456,-0.868951
0.0862473,0.435843,0.66739,-0.762193
0.0717095,0.491723,0.55989,-0.128239
0.0659936,0.198611,1.6803,-0.143
0.1225,0.186018,1.35762,-0.516117
0.0369235,0.440422,0.683946,-0.493933
0.151618,0.397231,2.43301,-0.607157
0.0500894,0.381651,2.71636,-0.834639
0.154673,0.130661,2.21697,-0.280532
0.0428124,0.485862,2.27829,-0.484293
0.112082,0.256723,0.341182,-0.147956
0.142151,0.282687,3.90562,-0.625009
0.138192,0.346614,2.97534,-0.506807
0.101057,0.241607,2.85879,-0.499073
0.145963,0.443753,0.548882,-0.294836
0.145664,0.271863,2.58314,-0.375981
0.111982,0.399651,1.82452,-0.510897
0.0444163,0.479789,3.52119,-0.366639
0.0807627,0.37196,2.84634,-0.23064
0.10694,0.408601,0.859523,-0.258489
0.122062,0.108082,2.69939,-0.33536
0.115671,0.122311,1.8526,-0.814364
0.0347438,0.0394652,0.499332,-0.713769
0.122049,0.380896,0.370385,-0.284833
0.134956,0.111275,3.93732,-0.697971
0.086859,0.313076,2.32179,-0.769411
0.0427604,0.258827,1.82068,-0.847039
0.117334,0.261617,1.94464,-0.702266
0.136683,0.487773,0.777369,-0.757327
0.139346,0.382946,3.12171,-0.937277
0.0546763,0.490832,1.60453,-0.202558
0.0709181,0.399715,2.27684,-0.392065
0.0717059,0.16837,1.43709,-0.439574
0.126283,0.477614,3.70485,-0.376514
0.0120923,0.444358,2.13386,-0.358895
0.0475934,0.23027,2.70965,-0.78886
0.12282,0.0708611,3.31841,-0.422179
0.0484209,0.256769,2.36774,-0.505006
0.0787772,0.430002,2.09837,-0.475713
0.0750158,0.0660291,3.30748,-0.532941
0.109006,0.348646,0.826378,-0.820184
0.0300198,0.36471,3.11677,-0.886389
0.0836228,0.256995,1.87799,-0.850303
0.0721851,0.397233,0.696448,-0.503996
0.0934644,0.333495,0.639468,-0.222255
0.0908835,0.100938,1.30274,-0.224962
0.0294119,0.457509,2.31569,-0.178421
0.0224458,0.0693932,3.20151,-0.845561
0.0739459,0.365216,1.89288,-0.593168
0.0140603,0.0296391,2.92559,-0.751919
0.0562429,0.478018,0.931462,-0.527913
0.0936717,0.434936,0.389875,-0.628427
0.0336448,0.0698675,3.96972,-0.172251
0.105041,0.237505,3.79719,-0.896235
0.119154,0.0818914,2.96895,-0.360938
0.0765818,0.426545,1.5671,-0.552072
0.0904412,0.0717771,2.72108,-0.617801
0.135927,0.33367,2.08948,-0.536114
0.066434,0.141209,1.9641,-0.934394
0.131053,0.173558,2.5601,-0.412887
0.10509,0.261397,3.70752,-0.825849
0.0741752,0.237393,3.29024,-0.727493
0.155335,0.375874,1.45265,-0.437903
0.0773625,0.206336,3.74914,-0.318648
0.114571,0.139734,3.58828,-0.202901
0.0442395,0.195101,1.95804,-0.857794
0.0677856,0.324785,3.66691,-0.196744
0.0299223,0.348055,1.49698,-0.375744
0.12933,0.445832,2.01573,-0.351806
0.0627806,0.120721,2.95356,-0.572057
0.0922779,0.0366945,2.07857,-0.396465
0.101762,0.355637,2.68763,-0.480388
0.0667489,0.0594064,0.400128,-0.916218
0.0128951,0.147884,3.91829,-0.226206
0.0423293,0.154679,2.31965,-0.929389
0.0516661,0.322177,3.57945,-0.122544
0.0594314,0.453204,3.86848,-0.24329
0.0594903,0.267549,3.55693,-0.535584
0.0680241,0.44911,2.12036,-0.903001
0.111567,0.154524,2.55611,-0.566107
0.0322403,0.167331,3.42521,-0.639798
0.0854064,0.455432,0.61451,-0.461681
0.0112767,0.0722228,3.87546,-0.68726
0.0534664,0.209712,2.15629,-0.715526
0.147219,0.350419,2.66914,-0.474566
0.158671,0.243978,1.53241,-0.785669
0.134024,0.443051,2.15647,-0.854175
0.0592455,0.320304,1.6177,-0.56295
